Players,Position,Team,Games,At Bats,Runs,Hits,Doubles,Triples,Home Runs,RBI,BB,SO,SB,CS,Average,OBP,SLG,Year
Joey Votto,1B,CIN,161,599,101,185,40,3,29,103,110,129,8,6,.309,.416,.531,2011
Nick Markakis,RF,BAL,160,641,72,182,31,1,15,73,62,75,12,3,.284,.351,.406,2011
Billy Butler,DH,KC,159,597,74,174,44,0,19,95,66,95,2,1,.291,.361,.461,2011
Robinson Cano,2B,NYY,159,623,104,188,46,7,28,118,38,96,8,2,.302,.349,.533,2011
Brett Gardner,LF,NYY,159,510,87,132,19,8,7,36,60,93,49,13,.259,.345,.369,2011
Adrian Gonzalez,1B,BOS,159,630,108,213,45,3,27,117,74,119,1,0,.338,.410,.548,2011
Jon Jay,CF,STL,159,455,56,135,24,2,10,37,28,81,6,7,.297,.344,.424,2011
Dustin Pedroia,2B,BOS,159,635,102,195,37,3,21,91,86,85,26,8,.307,.387,.474,2011
Gaby Sanchez,1B,FLA,159,572,72,152,35,0,19,78,74,97,3,1,.266,.352,.427,2011
Justin Upton,RF,ARI,159,592,105,171,39,5,31,88,59,126,21,9,.289,.369,.529,2011
Neil Walker,2B,PIT,159,596,76,163,36,4,12,83,54,112,9,6,.273,.334,.408,2011
Michael Young,1B,TEX,159,631,88,213,41,6,11,106,47,78,6,2,.338,.380,.474,2011
Michael Bourn,CF,ATL,158,656,94,193,34,10,2,50,53,140,61,14,.294,.349,.386,2011
Starlin Castro,SS,CHC,158,674,91,207,36,9,10,66,35,96,22,9,.307,.341,.432,2011
Jacoby Ellsbury,CF,BOS,158,660,119,212,46,5,32,105,52,98,39,15,.321,.376,.552,2011
Alcides Escobar,SS,KC,158,548,69,139,21,8,4,46,25,73,26,9,.254,.290,.343,2011
Danny Espinosa,2B,WSH,158,573,72,135,29,5,21,66,57,166,17,6,.236,.323,.414,2011
James Loney,1B,LAD,158,531,56,153,30,1,12,65,42,67,4,0,.288,.339,.416,2011
Andrew McCutchen,CF,PIT,158,572,87,148,34,5,23,89,89,126,23,10,.259,.364,.456,2011
Juan Pierre,LF,CWS,158,639,80,178,17,4,2,50,43,41,27,17,.279,.329,.327,2011
Starlin Castro,SS,CHC,162,646,78,183,29,12,14,78,36,100,25,13,.283,.323,.430,2012
Prince Fielder,1B,DET,162,581,83,182,33,1,30,108,85,84,1,0,.313,.412,.528,2012
Adam Jones,CF,BAL,162,648,103,186,39,3,32,82,34,126,16,7,.287,.334,.505,2012
Ichiro Suzuki,RF,NYY,162,629,77,178,28,6,9,55,22,61,29,7,.283,.307,.390,2012
Billy Butler,DH,KC,161,614,72,192,32,1,29,107,54,111,2,1,.313,.373,.510,2012
Miguel Cabrera,1B,DET,161,622,109,205,40,0,44,139,66,98,4,1,.330,.393,.606,2012
Robinson Cano,2B,NYY,161,627,105,196,48,1,33,94,61,96,3,2,.313,.379,.550,2012
Alex Gordon,LF,KC,161,642,93,189,51,5,14,72,73,140,10,5,.294,.368,.455,2012
Chase Headley,3B,SD,161,604,95,173,31,2,31,115,86,157,17,6,.286,.376,.498,2012
Danny Espinosa,2B,WSH,160,594,82,147,37,2,17,56,46,189,20,6,.247,.315,.402,2012
Curtis Granderson,CF,NYY,160,596,102,138,18,4,43,106,75,195,10,3,.232,.319,.492,2012
Carlos Pena,1B,TB,160,497,72,98,17,2,19,61,87,182,2,3,.197,.330,.354,2012
Hunter Pence,RF,SF,160,617,87,156,26,4,24,104,56,145,5,2,.253,.319,.425,2012
Jose Reyes,SS,MIA,160,642,86,184,37,12,11,57,63,56,40,11,.287,.347,.433,2012
Nelson Cruz,RF,TEX,159,585,86,152,45,0,24,90,48,140,8,4,.260,.319,.460,2012
Adrian Gonzalez,1B,LAD,159,629,75,188,47,1,18,108,42,110,2,0,.299,.344,.463,2012
Derek Jeter,SS,NYY,159,683,99,216,32,0,15,58,45,90,9,4,.316,.362,.429,2012
Elvis Andrus,SS,TEX,158,629,85,180,31,9,3,62,57,96,21,10,.286,.349,.378,2012
